idx,coil,fold,pred,actual,label
27,824,0,0.36072487,0,hardneg
96,553,0,0.50083995,0,FP
101,1015,0,0.07108634,1,FN
170,89,0,0.48057437,0,hardneg
204,997,0,0.3149341,0,hardneg
245,740,0,0.35241726,0,hardneg
278,1108,0,0.72526455,0,FP
425,448,0,0.71801275,0,FP
433,357,0,0.11667186,1,FN
593,574,0,0.30525395,0,hardneg
633,815,0,0.33708742,0,hardneg
658,1181,0,0.5590619,1,hardpos
724,1046,0,0.5293921,0,FP
944,471,0,0.45490608,0,hardneg
964,87,0,0.4526595,1,FN
978,284,0,0.43488368,0,hardneg
984,377,0,0.56874156,1,hardpos
1006,1098,0,0.42749465,0,hardneg
1014,116,0,0.44740435,0,hardneg
1031,988,0,0.32102287,0,hardneg
1130,86,0,0.2557715,1,FN
1140,1104,0,0.31760442,0,hardneg
1176,1437,0,0.3724604,0,hardneg
1250,1083,0,0.4056372,1,FN
1252,187,0,0.4432773,0,hardneg
1348,794,0,0.40024537,1,FN
8,572,1,0.59183186,0,FP
26,125,1,0.59213185,0,FP
35,624,1,0.004293566,1,FN
85,360,1,0.107906066,1,FN
184,138,1,0.3356216,0,hardneg
189,793,1,0.082165584,1,FN
222,575,1,0.2116082,1,FN
227,722,1,0.20720577,1,FN
338,573,1,0.59980357,0,FP
352,295,1,0.4968817,0,hardneg
435,23,1,0.3631014,0,hardneg
454,84,1,0.46302432,0,hardneg
487,821,1,0.94510376,0,FP
549,280,1,0.6890777,0,FP
563,1153,1,0.042443443,1,FN
590,760,1,0.8405703,0,FP
649,1114,1,0.34966066,0,hardneg
665,278,1,0.86424667,0,FP
669,1110,1,0.13547754,1,FN
700,467,1,0.53824097,0,FP
729,447,1,0.42633462,0,hardneg
734,1080,1,0.5059427,1,hardpos
744,296,1,0.5158387,1,hardpos
784,689,1,0.9335354,0,FP
830,359,1,0.5135641,0,FP
861,92,1,0.32311073,0,hardneg
900,816,1,0.35853353,0,hardneg
935,277,1,0.59224135,0,FP
979,690,1,0.55923337,0,FP
1081,709,1,0.11876183,1,FN
1090,708,1,0.34212372,1,FN
1107,591,1,0.5097862,0,FP
1253,743,1,0.60864365,0,FP
1307,472,1,0.65354466,0,FP
1321,188,1,0.76078534,0,FP
16,189,2,0.69586813,0,FP
49,85,2,0.63308555,0,FP
186,453,2,0.30297977,1,FN
208,8,2,0.44318277,0,hardneg
250,820,2,0.5960752,1,hardpos
287,823,2,0.631504,1,hardpos
309,547,2,0.857259,0,FP
396,937,2,0.32896495,0,hardneg
484,285,2,0.5836341,0,FP
561,846,2,0.41277945,0,hardneg
588,1079,2,0.41243005,0,hardneg
653,1495,2,0.0037602906,1,FN
678,518,2,0.027581656,1,FN
684,1136,2,0.69326365,0,FP
733,98,2,0.7360645,0,FP
779,641,2,0.15697637,1,FN
789,262,2,0.8316032,0,FP
853,220,2,0.80094576,0,FP
859,814,2,0.012968775,1,FN
866,840,2,0.39584,0,hardneg
879,288,2,0.64617115,0,FP
974,913,2,0.07009859,1,FN
1051,247,2,0.678968,0,FP
1071,818,2,0.09354271,1,FN
1104,787,2,0.3133662,0,hardneg
1111,809,2,0.59419703,0,FP
1211,1112,2,0.7776925,0,FP
1220,549,2,0.9053593,0,FP
1221,968,2,0.3980871,0,hardneg
1292,650,2,0.60530293,1,hardpos
1301,772,2,0.9274231,0,FP
1311,1113,2,0.73474234,0,FP
1331,819,2,0.065906934,1,FN
40,283,3,0.71179575,0,FP
140,1182,3,0.5693767,1,hardpos
152,126,3,0.5862791,1,hardpos
155,300,3,0.3789771,0,hardneg
169,279,3,0.7359036,0,FP
237,588,3,0.26407057,1,FN
265,1436,3,0.01617,1,FN
340,490,3,0.3677275,0,hardneg
390,817,3,0.34270817,0,hardneg
471,642,3,0.7037902,0,FP
491,141,3,0.46715423,0,hardneg
499,72,3,0.22647548,1,FN
506,286,3,0.7521256,0,FP
553,1075,3,0.4389514,0,hardneg
671,350,3,0.58240676,0,FP
675,651,3,0.8296551,0,FP
764,834,3,0.6038852,0,FP
788,70,3,0.33066973,0,hardneg
833,303,3,0.5403592,0,FP
849,542,3,0.86427134,0,FP
894,258,3,0.3133858,1,FN
915,774,3,0.6379541,0,FP
961,1074,3,0.69152087,0,FP
1008,51,3,0.3750434,0,hardneg
1025,167,3,0.52053565,0,FP
1028,995,3,0.29871836,1,FN
1048,957,3,0.23647104,1,FN
1096,1180,3,0.3351594,0,hardneg
1115,1191,3,0.48533535,0,hardneg
1183,1029,3,0.34667847,0,hardneg
1190,90,3,0.8457976,0,FP
1216,796,3,0.056148857,1,FN
4,1190,4,0.32893795,0,hardneg
34,375,4,0.45454672,0,hardneg
67,788,4,0.43787527,0,hardneg
92,991,4,0.86143667,0,FP
134,812,4,0.49396893,0,hardneg
172,914,4,0.6907968,0,FP
199,473,4,0.007702802,1,FN
256,137,4,0.59130514,0,FP
276,550,4,0.34171805,1,FN
375,851,4,0.30780208,0,hardneg
394,807,4,0.32020962,0,hardneg
438,930,4,0.35606888,0,hardneg
565,93,4,0.8373138,0,FP
577,315,4,0.6760436,0,FP
716,845,4,0.47514322,0,hardneg
759,576,4,0.5168099,1,hardpos
774,273,4,0.60731333,0,FP
848,1173,4,0.33364764,0,hardneg
943,523,4,0.6817921,1,hardpos
954,287,4,0.53742886,0,FP
970,655,4,0.51866525,1,hardpos
1021,757,4,0.58456916,0,FP
1029,811,4,0.31733257,0,hardneg
1105,778,4,0.02188946,1,FN
1114,948,4,0.50384957,0,FP
1142,143,4,0.6417574,0,FP
1157,831,4,0.33903235,0,hardneg
1191,1499,4,0.01587178,1,FN
1347,389,4,0.76017576,0,FP
